,Unnamed: 0.1,original_index,sentence,Unnamed: 0,date,year,month,day,author,title,url,section,publication,objectivity_classification,Emotional_appeal_classification,classification_raw,WordCount
22,22,0,there were landslides,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,False,False,Unclassifiable,3
23,23,0,another resident 82yearold saburo yokoyama said he was horrified when he saw floodwater flowing just outside his house,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,18
24,24,0,it was scary just scary,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,False,True,Subjective Emotional Appeal,5
25,25,0,in front of our house had become a river and was making a huge noise he said,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,False,False,Unclassifiable,17
26,26,0,prime minister shinzo abe canceled his planned july 1118 trip to europe and the middle east to oversee the emergency response,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,21
27,27,0,abe said earlier monday that the government had dispatched 73000 troops and emergency workers for the search and rescue effort,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,20
28,28,0, yamaguchi reported from tokyo,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,5
29,29,0, follow haruka nuga on twitter at httpstwittercomharukanuga her work can be found at httpswwwapnewscomsearchharuka20nuga,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,15
30,30,1,a 15foot 1300pound saltwater croc was captured in australia,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,9
31,31,1,nt department of tourism and culture via ap a 15foot saltwater crocodile was captured monday in a region of australia popular with tourists because it is thought to be safe from the reptiles wildlife rangers said,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,36
32,32,1,the 1300pound predator was caught about 185 miles from the ocean and about 19 miles downstream from katherine gorge a major tourist attraction outside the town of katherine the northern territory parks and wildlife officials said,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,36
33,33,1,authorities had been hunting the giant crocodile for a decade ranger john burke said,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,14
34,34,1,weaposve called it a lot of things over the years because itaposs been so hard to catch burke said,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,False,False,Unclassifiable,19
35,35,1,rangers had been hunting the croc for a decade,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,9
36,36,1,nt department of tourism and culture via ap on record this is the biggest saltwater crocodile removed from the katherine management zone he said referring to the part of the river where saltwater crocs are captured because they get too close to the tourist areas,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,45
37,37,1,saltwater crocodiles are protected in australia,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,6
38,38,1,webb said the capture proved that the government protection program worked,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,False,False,Unclassifiable,11
39,39,1,itaposs worrying but itaposs good that theyaposve got an active program and theyaposve got active traps he said,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,False,True,Subjective Emotional Appeal,18
40,40,1,the crocodile was taken to a farm outside katherine where its likely to become the newest tourist attraction,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,18
41,41,1,the associated press contributed to this report,1,7/10/2018 0:00,2018,7,10,Ryan Gaydos,"Australian rangers trap gigantic saltwater crocodile after decade-long hunt, officials say",https://www.foxnews.com/world/australian-rangers-trap-gigantic-saltwater-crocodile-after-decade-long-hunt-officials-say,Reptiles,Fox News,True,False,Objective,7
42,42,2,while restaurant leaders reportedly agree that rey was a good worker they maintain that he was fired for an aggressive tone and nature istock union protestors and celebrity advocates have decided that waiters tips arent big enough,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,True,Objective Emotional Appeal,37
43,43,2,they are upset that in 43 states  tipped workers can be paid a lower minimum wage as low as 213 an hour,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,23
44,44,2,not fair,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,2
45,45,2,shout celebrities like jane fonda who recorded commercials saying thats barely enough to buy a large cup of coffee as usual those who want the government to decide that workers must be paid more insist that women and minorities are hurt by the market,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,44
46,46,2,but waitress alcieli felipe is a minority and a woman,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,10
47,47,2,she says the celebrities and politicians should butt out,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,9
48,48,2,thanks to tips felipe says in my new internet video  she makes 25 an hour,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,16
49,49,2,by the end of the year 48000 to 50000 she understands that if government raises the minimum itll be harder for restaurants to keep the same amount of employees  the busboy will be cut shes right,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,37
50,50,2,minimum wage laws dont just raise salaries without cost,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,9
51,51,2,if they did why not set the minimum at 100 an hour,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,12
52,52,2,every time a minimum is raised somebody loses something,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,9
53,53,2,in the san francisco bay area youve got a 14 percent increase in restaurant closures for each dollar increase in the minimum wage says michael saltsman of the employment policy institute,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,31
54,54,2,activists are unmoved,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,3
55,55,2,the problem with tips is that theyre very inconsistent university of buffalo law professor nicole hallett told me,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,18
56,56,2,hallett is one of those activist professors who gets students to join her in social justice protests,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,17
57,57,2,i simply dont believe that increasing the minimum wage for tipped workers will lead to a reduction in the restaurant workforce she said,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,23
58,58,2,studies have shown that restaurants have been able to bear those costs i pointed out that last time new york raised its minimum the city lost 270 restaurants ,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,29
59,59,2,restaurants always close she replied,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,5
60,60,2,restaurants dont always close responds saltsman,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,6
61,61,2,yeah theres turnover in the industry but what were doing now to an industry where theres low profit margins jacking up restaurant closures  somethings not right the media rarely focus on those closings,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,34
62,62,2,we cant interview people who are never hired we dont know who they are,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,14
63,63,2,instead activists lead reporters to workers who talk about struggling to pay rent,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,True,Objective Emotional Appeal,13
64,64,2,fortysix percent of tipped workers nationwide rely on public benefits like food stamps hallett told me,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,16
65,65,2,i pointed out that many tipped workers are eligible for benefits because they dont report tip income to the government,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,20
66,66,2,she didnt dispute that,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,4
67,67,2,many restaurants and restaurant workers donapost report 100 percent of their income she acknowledged,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,14
68,68,2,hallett and other higherminimum activists also claim that tipping should be discouraged because it causes sexual harassment,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,17
69,69,2,sarah jessica parker reese witherspoon natalie portman jane fonda and 12 other actresses wrote a letter urging new yorks governor to increase the minimum wage claiming that relying on tips creates a more permissive work environment where customers feel entitled to abuse women in exchange for service tipping causes customers to abuse women,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,True,Objective Emotional Appeal,53
70,70,2,saltsman says research using federal data doesnt support that ,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,10
71,71,2, data shows some of the states that have gone down this path that the activists want changing their tipping system actually have a higher rate of sexual harassment when i pointed that out to hallett she replied sexual harassment is complicated no single policy is going to eliminate that problem so raising the minimum wont reduce sexual harassment but will raise prices will force some restaurants to either fire workers or close and will reduce tip income,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,78
72,72,2,this is supposed to help restaurant workers,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,7
73,73,2,many object to being helped when maine voters increased the minimum so many restaurant workers protested that the politicians reversed the decision,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,True,False,Objective,22
74,74,2,alcieli felipe doesnt want the government helping her either we are fine,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,12
75,75,2,who are those people,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,4
76,76,2,have they worked in the restaurant industry most havent,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Unclassifiable,9
77,77,2,im a free market guy,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,5
78,78,2,i wonder why should there be any minimum,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,8
79,79,2,why cant the employer and employee make whatever deal they want that policy has been rejected hallett told me rejected for the last hundred years,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,25
80,80,2,were not in that world unfortunately we arent,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,False,Subjective,8
81,81,2,we live in a world where activists and government protect workers right out of their jobs,2,8/1/2018 0:00,2018,8,1,John Stossel,John Stossel: Are looney liberals and smug celebrities about to put an end to tipping?,https://www.foxnews.com/opinion/john-stossel-are-looney-liberals-and-smug-celebrities-about-to-put-an-end-to-tipping,OPINION,Fox News,False,True,Subjective Emotional Appeal,16
